day,temp_mean,temp_max,temp_min,hdd,cdd
01-01,45.5,54.0,36.4,19.5,0.0
01-02,44.1,52.1,35.8,20.9,0.0
01-03,42.8,50.7,34.6,22.2,0.0
01-04,42.9,52.1,33.7,22.1,0.0
01-05,43.2,52.4,33.5,21.8,0.0
01-06,43.5,52.7,33.9,21.5,0.0
01-07,43.6,53.2,33.9,21.4,0.0
01-08,41.5,50.9,31.9,23.5,0.0
01-09,42.4,52.1,32.9,22.6,0.0
01-10,42.2,50.9,33.2,22.8,0.0
01-11,42.3,51.7,33.6,22.7,0.0
01-12,42.5,51.4,32.5,22.5,0.0
01-13,44.4,53.4,34.5,20.6,0.0
01-14,43.1,54.2,31.7,21.9,0.0
01-15,42.0,51.1,32.5,23.0,0.0
01-16,41.7,51.1,31.7,23.3,0.0
01-17,41.8,50.8,32.4,23.2,0.0
01-18,41.9,50.6,33.0,23.1,0.0
01-19,42.5,52.5,31.9,22.5,0.0
01-20,41.7,51.3,31.6,23.3,0.0
01-21,42.2,51.4,32.1,22.8,0.0
01-22,41.4,50.7,31.7,23.6,0.0
01-23,41.5,50.5,32.4,23.5,0.0
01-24,42.8,52.1,33.1,22.2,0.0
01-25,42.3,53.5,30.6,22.7,0.0
01-26,41.9,51.9,31.9,23.1,0.0
01-27,41.7,52.0,31.0,23.3,0.0
01-28,43.2,53.8,31.5,21.8,0.0
01-29,44.8,55.7,33.8,20.2,0.0
01-30,46.2,55.7,36.0,18.8,0.0
01-31,44.9,56.2,33.1,20.1,0.0
02-01,45.3,56.1,34.7,19.7,0.0
02-02,46.4,56.7,35.9,18.6,0.0
02-03,46.0,56.1,35.6,19.0,0.0
02-04,44.2,54.2,34.4,20.8,0.0
02-05,42.5,50.8,34.1,22.5,0.0
02-06,43.4,53.3,33.1,21.6,0.0
02-07,43.8,52.9,33.5,21.2,0.0
02-08,45.0,55.9,33.7,20.0,0.0
02-09,44.8,56.7,32.5,20.2,0.0
02-10,44.3,55.2,33.7,20.7,0.0
02-11,45.3,55.5,35.1,19.7,0.0
02-12,44.4,53.8,34.8,20.6,0.0
02-13,43.9,52.8,34.6,21.1,0.0
02-14,46.1,56.8,34.5,18.9,0.0
02-15,46.7,57.8,35.4,18.3,0.0
02-16,47.1,57.8,36.0,17.9,0.0
02-17,46.5,56.7,35.8,18.5,0.0
02-18,45.6,54.7,35.4,19.4,0.0
02-19,47.9,58.6,36.8,17.1,0.0
02-20,50.0,60.3,39.6,15.0,0.0
02-21,51.9,62.1,41.6,13.1,0.0
02-22,50.2,59.3,40.8,14.8,0.0
02-23,50.2,59.8,40.3,14.8,0.0
02-24,48.7,59.0,38.4,16.3,0.0
02-25,47.7,57.3,38.5,17.3,0.0
02-26,46.3,57.2,36.4,18.7,0.0
02-27,47.0,56.2,37.6,18.0,0.0
02-28,48.2,57.8,38.0,16.8,0.0
02-29,49.2,59.4,38.2,15.8,0.0
03-01,50.4,60.2,40.3,14.6,0.0
03-02,50.6,60.8,40.5,14.4,0.0
03-03,49.6,59.6,39.4,15.4,0.0
03-04,49.8,60.8,38.9,15.2,0.0
03-05,51.3,62.1,40.3,13.7,0.0
03-06,52.4,63.2,40.9,12.6,0.0
03-07,51.8,64.2,39.2,13.2,0.0
03-08,52.0,65.1,38.7,13.0,0.0
03-09,52.6,63.5,41.1,12.4,0.0
03-10,51.9,62.8,40.9,13.1,0.0
03-11,52.7,64.3,40.9,12.3,0.0
03-12,53.0,65.0,41.1,12.0,0.0
03-13,53.8,64.6,42.5,11.2,0.0
03-14,53.8,65.4,41.9,11.2,0.0
03-15,54.8,66.0,43.7,10.2,0.0
03-16,55.1,65.2,45.2,9.9,0.0
03-17,54.2,64.8,43.5,10.8,0.0
03-18,56.1,66.7,45.2,8.9,0.0
03-19,56.8,67.8,45.6,8.2,0.0
03-20,54.1,65.1,43.1,10.9,0.0
03-21,54.3,65.4,42.9,10.7,0.0
03-22,53.2,64.1,41.9,11.8,0.0
03-23,54.9,67.4,42.7,10.1,0.0
03-24,55.4,67.0,43.4,9.6,0.0
03-25,56.4,68.0,44.6,8.6,0.0
03-26,56.0,67.3,44.8,9.0,0.0
03-27,56.2,66.9,45.6,8.8,0.0
03-28,57.4,67.9,46.7,7.6,0.0
03-29,57.3,68.2,47.2,7.7,0.0
03-30,57.6,68.4,46.8,7.4,0.0
03-31,57.4,66.8,47.8,7.6,0.0
04-01,58.4,70.1,46.4,6.6,0.0
04-02,58.3,70.9,45.6,6.7,0.0
04-03,59.5,70.9,47.9,5.5,0.0
04-04,59.9,71.5,48.3,5.1,0.0
04-05,57.7,67.8,47.2,7.3,0.0
04-06,57.0,68.0,45.7,8.0,0.0
04-07,57.4,68.8,46.4,7.6,0.0
04-08,59.3,70.0,48.4,5.7,0.0
04-09,59.1,70.5,47.9,5.9,0.0
04-10,59.1,71.8,46.4,5.9,0.0
04-11,60.9,72.8,48.9,4.1,0.0
04-12,60.4,72.1,49.0,4.6,0.0
04-13,60.8,72.6,49.1,4.2,0.0
04-14,62.1,73.1,51.1,2.9,0.0
04-15,62.9,73.5,51.8,2.1,0.0
04-16,60.4,71.9,48.8,4.6,0.0
04-17,61.2,74.0,48.4,3.8,0.0
04-18,61.2,73.6,49.0,3.8,0.0
04-19,61.8,73.4,50.0,3.2,0.0
04-20,63.4,74.8,52.2,1.6,0.0
04-21,63.8,75.9,52.0,1.2,0.0
04-22,63.0,74.5,51.6,2.0,0.0
04-23,62.4,74.2,50.9,2.6,0.0
04-24,62.8,74.9,50.5,2.2,0.0
04-25,64.0,75.3,51.9,1.0,0.0
04-26,64.4,75.4,53.2,0.6,0.0
04-27,64.8,76.0,53.7,0.2,0.0
04-28,64.2,75.8,52.8,0.8,0.0
04-29,64.8,76.7,52.9,0.2,0.0
04-30,65.2,75.9,54.4,0.0,0.2
05-01,66.6,78.0,54.9,0.0,1.6
05-02,66.4,78.7,54.4,0.0,1.4
05-03,65.1,76.3,54.4,0.0,0.1
05-04,64.4,75.4,53.7,0.6,0.0
05-05,64.7,76.1,53.4,0.3,0.0
05-06,66.2,77.7,54.6,0.0,1.2
05-07,66.8,78.5,55.1,0.0,1.8
05-08,67.6,79.4,55.9,0.0,2.6
05-09,67.7,78.8,57.2,0.0,2.7
05-10,68.9,79.4,58.2,0.0,3.9
05-11,68.7,80.4,57.1,0.0,3.7
05-12,69.1,80.7,57.8,0.0,4.1
05-13,68.4,79.4,57.7,0.0,3.4
05-14,69.2,80.4,58.2,0.0,4.2
05-15,68.8,79.6,58.2,0.0,3.8
05-16,69.0,79.9,58.5,0.0,4.0
05-17,68.8,80.0,57.5,0.0,3.8
05-18,69.2,79.9,58.7,0.0,4.2
05-19,69.0,79.0,58.4,0.0,4.0
05-20,69.6,80.4,58.9,0.0,4.6
05-21,70.0,80.4,59.8,0.0,5.0
05-22,70.4,81.0,60.0,0.0,5.4
05-23,71.3,82.7,60.2,0.0,6.3
05-24,71.8,83.0,60.4,0.0,6.8
05-25,71.7,82.0,60.5,0.0,6.7
05-26,72.4,83.6,61.4,0.0,7.4
05-27,73.1,83.7,62.6,0.0,8.1
05-28,72.5,82.9,62.7,0.0,7.5
05-29,72.1,81.6,62.8,0.0,7.1
05-30,72.9,83.4,62.8,0.0,7.9
05-31,73.8,84.2,63.3,0.0,8.8
06-01,73.9,83.1,64.6,0.0,8.9
06-02,73.9,84.4,63.4,0.0,8.9
06-03,75.1,85.6,64.9,0.0,10.1
06-04,75.2,85.0,65.7,0.0,10.2
06-05,74.2,84.2,64.6,0.0,9.2
06-06,74.3,85.1,63.9,0.0,9.3
06-07,74.5,85.4,63.9,0.0,9.5
06-08,75.3,85.5,65.0,0.0,10.3
06-09,76.0,85.9,66.0,0.0,11.0
06-10,76.2,87.0,65.5,0.0,11.2
06-11,76.2,86.5,66.1,0.0,11.2
06-12,76.3,86.1,66.4,0.0,11.3
06-13,75.8,85.2,66.1,0.0,10.8
06-14,76.4,86.6,66.5,0.0,11.4
06-15,76.3,86.4,66.2,0.0,11.3
06-16,76.7,86.8,66.4,0.0,11.7
06-17,77.6,87.6,67.9,0.0,12.6
06-18,76.9,86.9,67.0,0.0,11.9
06-19,76.9,86.8,67.0,0.0,11.9
06-20,76.8,87.1,66.4,0.0,11.8
06-21,77.3,87.5,67.2,0.0,12.3
06-22,77.2,87.5,67.4,0.0,12.2
06-23,77.9,88.4,67.7,0.0,12.9
06-24,78.3,88.3,68.1,0.0,13.3
06-25,77.8,87.6,68.6,0.0,12.8
06-26,77.6,87.3,68.1,0.0,12.6
06-27,78.3,87.8,69.0,0.0,13.3
06-28,77.9,87.2,68.8,0.0,12.9
06-29,78.1,86.7,68.9,0.0,13.1
06-30,78.5,87.9,69.7,0.0,13.5
07-01,77.2,88.2,68.1,0.0,12.2
07-02,78.4,88.4,68.6,0.0,13.4
07-03,78.3,87.9,68.9,0.0,13.3
07-04,78.3,87.3,68.4,0.0,13.3
07-05,78.2,87.8,69.0,0.0,13.2
07-06,78.5,87.8,69.4,0.0,13.5
07-07,78.7,88.8,69.0,0.0,13.7
07-08,79.9,89.9,70.1,0.0,14.9
07-09,80.1,90.6,69.9,0.0,15.1
07-10,80.4,90.2,70.8,0.0,15.4
07-11,80.1,89.7,70.9,0.0,15.1
07-12,79.6,89.2,70.5,0.0,14.6
07-13,79.6,88.5,70.9,0.0,14.6
07-14,80.0,89.1,71.0,0.0,15.0
07-15,79.0,88.0,70.0,0.0,14.0
07-16,78.9,88.6,69.4,0.0,13.9
07-17,79.6,89.7,70.1,0.0,14.6
07-18,79.1,89.6,69.0,0.0,14.1
07-19,80.1,90.5,69.9,0.0,15.1
07-20,80.3,90.1,70.6,0.0,15.3
07-21,80.8,90.8,70.9,0.0,15.8
07-22,80.1,89.5,70.9,0.0,15.1
07-23,80.1,89.5,71.0,0.0,15.1
07-24,80.1,90.0,70.4,0.0,15.1
07-25,79.6,89.2,70.2,0.0,14.6
07-26,80.1,89.7,70.6,0.0,15.1
07-27,80.3,89.6,71.4,0.0,15.3
07-28,80.1,88.6,71.0,0.0,15.1
07-29,79.8,89.1,70.8,0.0,14.8
07-30,79.7,89.2,70.2,0.0,14.7
07-31,79.1,88.4,70.0,0.0,14.1
08-01,79.0,88.1,69.6,0.0,14.0
08-02,79.1,88.1,70.1,0.0,14.1
08-03,79.2,88.8,69.7,0.0,14.2
08-04,79.6,89.7,69.7,0.0,14.6
08-05,80.0,90.1,70.1,0.0,15.0
08-06,79.4,89.1,69.7,0.0,14.4
08-07,79.4,88.3,70.7,0.0,14.4
08-08,78.4,87.0,69.8,0.0,13.4
08-09,78.9,88.6,69.3,0.0,13.9
08-10,79.5,89.1,69.9,0.0,14.5
08-11,78.8,88.1,69.7,0.0,13.8
08-12,78.6,87.6,69.9,0.0,13.6
08-13,78.1,86.8,69.3,0.0,13.1
08-14,78.7,87.9,69.5,0.0,13.7
08-15,78.3,88.0,68.8,0.0,13.3
08-16,78.9,88.4,70.0,0.0,13.9
08-17,79.4,88.6,70.3,0.0,14.4
08-18,79.6,89.5,70.1,0.0,14.6
08-19,79.6,89.8,69.7,0.0,14.6
08-20,79.4,88.8,69.9,0.0,14.4
08-21,78.7,88.1,69.3,0.0,13.7
08-22,78.5,88.7,68.5,0.0,13.5
08-23,78.6,88.2,68.8,0.0,13.6
08-24,78.7,88.7,68.9,0.0,13.7
08-25,77.7,87.1,68.4,0.0,12.7
08-26,78.2,88.1,68.4,0.0,13.2
08-27,77.8,87.3,68.3,0.0,12.8
08-28,77.8,87.0,68.7,0.0,12.8
08-29,78.0,87.4,68.9,0.0,13.0
08-30,77.2,85.8,68.8,0.0,12.2
08-31,77.0,85.4,68.9,0.0,12.0
09-01,76.7,85.2,68.2,0.0,11.7
09-02,76.1,84.6,67.9,0.0,11.1
09-03,76.3,84.9,67.8,0.0,11.3
09-04,75.4,84.6,66.2,0.0,10.4
09-05,75.0,85.0,65.2,0.0,10.0
09-06,74.6,84.5,64.9,0.0,9.6
09-07,74.7,84.8,65.0,0.0,9.7
09-08,74.8,85.4,64.2,0.0,9.8
09-09,74.7,84.9,64.8,0.0,9.7
09-10,74.2,84.9,64.1,0.0,9.2
09-11,74.8,84.9,64.7,0.0,9.8
09-12,74.9,84.6,65.1,0.0,9.9
09-13,73.2,83.1,63.6,0.0,8.2
09-14,73.6,84.2,63.1,0.0,8.6
09-15,73.3,83.3,63.2,0.0,8.3
09-16,72.5,82.5,62.7,0.0,7.5
09-17,72.1,81.5,62.6,0.0,7.1
09-18,71.5,80.9,61.9,0.0,6.5
09-19,71.7,82.4,61.0,0.0,6.7
09-20,71.9,82.3,61.8,0.0,6.9
09-21,72.4,82.2,62.6,0.0,7.4
09-22,71.5,81.8,61.1,0.0,6.5
09-23,71.0,81.7,60.4,0.0,6.0
09-24,69.2,79.3,59.2,0.0,4.2
09-25,68.9,79.1,58.4,0.0,3.9
09-26,68.5,78.4,59.0,0.0,3.5
09-27,69.0,78.6,59.6,0.0,4.0
09-28,68.8,79.6,58.3,0.0,3.8
09-29,67.6,77.5,57.6,0.0,2.6
09-30,66.8,77.5,56.1,0.0,1.8
10-01,66.6,77.7,55.4,0.0,1.6
10-02,66.0,77.6,54.6,0.0,1.0
10-03,66.7,77.6,55.9,0.0,1.7
10-04,66.8,77.9,55.8,0.0,1.8
10-05,67.1,79.1,55.0,0.0,2.1
10-06,66.1,77.3,54.8,0.0,1.1
10-07,65.1,75.0,55.2,0.0,0.1
10-08,64.7,74.2,55.2,0.3,0.0
10-09,65.4,74.1,56.5,0.0,0.4
10-10,64.7,74.4,55.3,0.3,0.0
10-11,64.9,75.4,55.1,0.1,0.0
10-12,64.2,73.6,54.7,0.8,0.0
10-13,63.6,73.4,53.7,1.4,0.0
10-14,62.9,73.8,51.6,2.1,0.0
10-15,61.7,73.6,49.9,3.3,0.0
10-16,61.9,73.4,50.2,3.1,0.0
10-17,61.7,73.5,49.9,3.3,0.0
10-18,61.8,73.0,50.4,3.2,0.0
10-19,60.4,72.1,48.5,4.6,0.0
10-20,60.0,72.2,47.5,5.0,0.0
10-21,60.4,73.1,47.6,4.6,0.0
10-22,60.2,71.1,49.2,4.8,0.0
10-23,58.9,70.1,47.6,6.1,0.0
10-24,58.8,69.7,47.8,6.2,0.0
10-25,58.9,69.8,48.2,6.1,0.0
10-26,59.8,71.1,48.6,5.2,0.0
10-27,58.8,69.6,47.7,6.2,0.0
10-28,59.0,70.0,47.8,6.0,0.0
10-29,57.3,69.3,45.3,7.7,0.0
10-30,57.9,70.5,45.6,7.1,0.0
10-31,58.6,70.1,47.0,6.4,0.0
11-01,58.8,70.1,47.2,6.2,0.0
11-02,58.3,69.1,47.3,6.7,0.0
11-03,57.0,68.9,44.9,8.0,0.0
11-04,55.5,65.6,45.1,9.5,0.0
11-05,55.4,65.7,45.2,9.6,0.0
11-06,54.9,65.2,44.5,10.1,0.0
11-07,54.4,66.0,42.4,10.6,0.0
11-08,53.9,65.6,42.0,11.1,0.0
11-09,54.3,65.5,43.1,10.7,0.0
11-10,54.6,66.0,42.8,10.4,0.0
11-11,52.1,63.7,40.6,12.9,0.0
11-12,52.9,64.4,41.1,12.1,0.0
11-13,51.5,62.5,40.0,13.5,0.0
11-14,51.3,63.1,39.4,13.7,0.0
11-15,52.4,63.4,41.1,12.6,0.0
11-16,52.9,63.6,42.1,12.1,0.0
11-17,51.3,61.8,40.0,13.7,0.0
11-18,51.5,62.8,39.5,13.5,0.0
11-19,51.7,61.8,40.9,13.3,0.0
11-20,52.4,62.4,42.1,12.6,0.0
11-21,51.2,61.1,41.1,13.8,0.0
11-22,50.5,61.7,39.0,14.5,0.0
11-23,50.7,61.2,39.9,14.3,0.0
11-24,51.2,61.9,40.1,13.8,0.0
11-25,50.6,61.6,39.4,14.4,0.0
11-26,51.1,62.6,39.1,13.9,0.0
11-27,51.2,61.6,40.7,13.8,0.0
11-28,51.3,62.0,40.2,13.7,0.0
11-29,49.6,59.1,39.7,15.4,0.0
11-30,49.8,59.6,39.9,15.2,0.0
12-01,48.2,57.8,38.0,16.8,0.0
12-02,48.6,59.6,37.4,16.4,0.0
12-03,48.5,59.7,37.1,16.5,0.0
12-04,48.6,58.3,38.3,16.4,0.0
12-05,48.0,57.5,38.0,17.0,0.0
12-06,45.9,55.9,35.6,19.1,0.0
12-07,45.7,56.5,34.8,19.3,0.0
12-08,46.6,56.5,36.4,18.4,0.0
12-09,47.1,56.5,37.1,17.9,0.0
12-10,46.0,55.2,36.5,19.0,0.0
12-11,45.3,54.5,35.9,19.7,0.0
12-12,45.8,54.2,37.3,19.2,0.0
12-13,45.3,54.6,35.9,19.7,0.0
12-14,44.7,53.2,35.9,20.3,0.0
12-15,45.1,55.4,34.8,19.9,0.0
12-16,46.0,56.4,35.3,19.0,0.0
12-17,45.2,55.2,35.0,19.8,0.0
12-18,43.8,53.6,33.4,21.2,0.0
12-19,43.7,53.7,33.5,21.3,0.0
12-20,44.3,53.1,35.4,20.7,0.0
12-21,44.5,53.3,35.6,20.5,0.0
12-22,45.4,54.3,35.8,19.6,0.0
12-23,45.4,54.9,35.2,19.6,0.0
12-24,43.5,51.4,35.5,21.5,0.0
12-25,41.7,49.3,33.6,23.3,0.0
12-26,42.5,51.7,33.0,22.5,0.0
12-27,44.5,53.9,35.0,20.5,0.0
12-28,44.7,53.6,35.6,20.3,0.0
12-29,44.9,54.5,35.3,20.1,0.0
12-30,43.1,52.4,33.8,21.9,0.0
12-31,44.3,53.2,34.9,20.7,0.0
